resourceType,resourceProvider,providerDisplayName,typeOnly,displayName,apiVersions,defaultApiVersion,locationsCount,locations,servicePrincipals,supportsPrivateEndpoint,supportsManagedIdentity,supportsTags,supportsLock
microsoft.aad/locations/resilienceservicesoperationstatuses,Microsoft.AAD,Domain Services Resource Provider,locations/ResilienceServicesOperationStatuses,n/a,2026-01-01-preview,2026-01-01-preview,10,australiaeast; centraluseuap; eastus2; eastus2euap; japaneast; northeurope; swedencentral; uksouth; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,False,False
microsoft.aad/operations,Microsoft.AAD,Domain Services Resource Provider,operations,n/a,"2025-10-01,2025-06-01,2022-12-01,2022-09-01,2021-05-01,2021-03-01,2020-01-01,2017-06-01,2017-01-01",2021-05-01,51,australiaeast; australiasoutheast; austriaeast; belgiumcentral; brazilsouth; canadacentral; canadaeast; centralindia; centralus; chilecentral; denmarkeast; eastasia; eastus; eastus2; francecentral; germanynorth; germanywestcentral; indiasouthcentral; indonesiacentral; israelcentral; italynorth; japaneast; japanwest; koreacentral; koreasouth; malaysiawest; mexicocentral; newzealandnorth; northcentralus; northeurope; norwayeast; polandcentral; qatarcentral; southafricanorth; southcentralus; southeastasia; southindia; spaincentral; swedencentral; switzerlandnorth; switzerlandwest; uaecentral; uaenorth; uksouth; ukwest; westcentralus; westeurope; westindia; westus; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,False,False
microsoft.aad/resilienceservices,Microsoft.AAD,Domain Services Resource Provider,ResilienceServices,n/a,2026-01-01-preview,2026-01-01-preview,10,australiaeast; centraluseuap; eastus2; eastus2euap; japaneast; northeurope; swedencentral; uksouth; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,True,True
microsoft.aad/resilienceservices/hosts,Microsoft.AAD,Domain Services Resource Provider,ResilienceServices/Hosts,n/a,2026-01-01-preview,2026-01-01-preview,10,australiaeast; centraluseuap; eastus2; eastus2euap; japaneast; northeurope; swedencentral; uksouth; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,True,True
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings,Microsoft.AadCustomSecurityAttributesDiagnosticSettings,Microsoft Monitoring Insights,diagnosticSettings,Diagnostic settings,2017-04-01-preview,2017-04-01-preview,0,,,False,False,False,False
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettingscategories,Microsoft.AadCustomSecurityAttributesDiagnosticSettings,Microsoft Monitoring Insights,diagnosticSettingsCategories,Diagnostic settings categories,2017-04-01-preview,2017-04-01-preview,0,,,False,False,False,False
microsoft.aadcustomsecurityattributesdiagnosticsettings/operations,Microsoft.AadCustomSecurityAttributesDiagnosticSettings,Microsoft Monitoring Insights,operations,n/a,2017-04-01-preview,,0,,,False,False,False,False
microsoft.aadiam/azureadmetrics,microsoft.aadiam,Azure Active Directory,azureADMetrics,Azure AD Metrics Definition,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/azureadmetrics/providers/microsoft.insights/diagnosticsettings,microsoft.aadiam,Azure Active Directory,azureADMetrics/providers/Microsoft.Insights/diagnosticSettings,azureADMetrics,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/azureadmetrics/providers/microsoft.insights/metricdefinitions,microsoft.aadiam,Azure Active Directory,azureADMetrics/providers/Microsoft.Insights/metricDefinitions,The metric definition of azureADMetrics,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/diagnosticsettings,microsoft.aadiam,Azure Active Directory,diagnosticSettings,Diagnostic settings,"2017-04-01-preview,2017-04-01",2017-04-01-preview,0,,,False,False,False,False
microsoft.aadiam/diagnosticsettingscategories,microsoft.aadiam,Azure Active Directory,diagnosticSettingsCategories,Diagnostic settings categories,"2017-04-01-preview,2017-04-01",2017-04-01-preview,0,,,False,False,False,False
microsoft.aadiam/metricdefinitions,microsoft.aadiam,Azure Active Directory,metricDefinitions,Metric Definitions,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/metrics,microsoft.aadiam,Azure Active Directory,metrics,Metrics,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/operations,microsoft.aadiam,Azure Active Directory,operations,n/a,"2017-04-01,2017-03-01,2016-09-01,2016-08-01,2016-07-01,2016-06-01,2016-03-01,2016-02-01,2015-11-01,2015-01-01",,0,,,False,False,False,False
microsoft.aadiam/privatelinkforazuread,microsoft.aadiam,Azure Active Directory,privateLinkForAzureAD,Private Link Policy Definition,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/privatelinkforazuread/privateendpointconnectionproxies,microsoft.aadiam,Azure Active Directory,privateLinkForAzureAD/privateEndpointConnectionProxies,Private Link Proxies,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/privatelinkforazuread/privateendpointconnections,microsoft.aadiam,Azure Active Directory,privateLinkForAzureAD/privateEndpointConnections,PrivateEndpointConnections,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/privatelinkforazuread/privatelinkresources,microsoft.aadiam,Azure Active Directory,privateLinkForAzureAD/privateLinkResources,PrivateLinkResources,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/tenants,microsoft.aadiam,Azure Active Directory,tenants,n/a,"2017-04-01,2017-03-01,2016-09-01,2016-08-01,2016-07-01,2016-06-01,2016-03-01,2016-02-01,2015-11-01,2015-01-01",2017-04-01,0,,,False,False,True,True
microsoft.aadiam/tenants/providers/microsoft.insights/diagnosticsettings,microsoft.aadiam,Azure Active Directory,tenants/providers/Microsoft.Insights/diagnosticSettings,tenants,,,0,,,False,undetermined,undetermined,undetermined
microsoft.aadiam/tenants/providers/microsoft.insights/logdefinitions,microsoft.aadiam,Azure Active Directory,tenants/providers/Microsoft.Insights/logDefinitions,The log definition of tenants,,,0,,,False,undetermined,undetermined,undetermined
microsoft.addons/operationresults,Microsoft.Addons,Microsoft Addons,operationResults,n/a,"2018-03-01,2017-05-15",,4,eastus; southcentralus; westcentralus; westeurope,,False,False,False,False
microsoft.addons/operations,Microsoft.Addons,Microsoft Addons,operations,operations,"2018-03-01,2017-05-15",,4,eastus; southcentralus; westcentralus; westeurope,,False,False,False,False
microsoft.addons/supportproviders,Microsoft.Addons,Microsoft Addons,supportProviders,listSupportPlanInfo,"2018-03-01,2017-05-15",,4,eastus; southcentralus; westcentralus; westeurope,,False,False,False,False
microsoft.addons/supportproviders/supportplantypes,Microsoft.Addons,Microsoft Addons,supportProviders/supportPlanTypes,supportPlanTypes,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/aadsupportcases,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,aadsupportcases,n/a,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/addsservices,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices,ADDomainService,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/addsservices/addomainservicemembers,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/addomainservicemembers,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/alerts,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/alerts,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/configuration,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/configuration,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/dimensions,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/dimensions,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/features/userpreference,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/features/userpreference,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/forestsummary,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/forestsummary,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/metricmetadata,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/metricmetadata,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/metrics/groups,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/metrics/groups,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/premiumcheck,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/premiumcheck,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/replicationdetails,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/replicationdetails,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/replicationstatus,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/replicationstatus,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/replicationsummary,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/replicationsummary,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/servicemembers,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/servicemembers,ADDomainService,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/addsservices/servicemembers/credentials,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,addsservices/servicemembers/credentials,ADDomainService Server,,,0,,,False,undetermined,undetermined,undetermined
microsoft.adhybridhealthservice/agents,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,agents,n/a,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/anonymousapiusers,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,anonymousapiusers,n/a,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/configuration,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,configuration,Tenant Configuration,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/logs,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,logs,Agent Logs,2014-01-01,,0,,,False,False,False,False
microsoft.adhybridhealthservice/logs/contents,Microsoft.ADHybridHealthService,Microsoft ADHybridHealthService,logs/contents,Agent Logs,,,0,,,False,undetermined,undetermined,undetermined
