resourceType,resourceProvider,providerDisplayName,typeOnly,displayName,apiVersions,defaultApiVersion,locationsCount,locations,servicePrincipals,supportsPrivateEndpoint,supportsManagedIdentity,supportsTags,supportsLock
microsoft.cognitiveservices/accounts/contentmoderator/teams/workflows,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentModerator/teams/workflows,Manage workflows.,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentmoderator/termlists,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentModerator/termlists,termlists*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentmoderator/termlists/terms,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentModerator/termlists/terms,Manage terms.,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentmoderator/text,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentModerator/text,Text Detect,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentmoderator/text/analyzeresults,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentModerator/text/analyzeresults,analyzeresults*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentmoderator/text/lists,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentModerator/text/lists,lists*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentmoderator/text/lists/items,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentModerator/text/lists/items,items*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety,Content Safety,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/image/incidents,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/image/incidents,Image Incidents,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/image/incidents/incidentsamples,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/image/incidents/incidentsamples,Image Incidentsamples,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/metrics/blocklisthitcalls,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/metrics/blocklistHitCalls,blocklist hit calls*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/metrics/blocklisttopterms,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/metrics/blocklistTopTerms,blocklist top terms,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/metrics/categories/requestcounts,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/metrics/categories/requestCounts,request counts for categories,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/metrics/rejectcounts,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/metrics/rejectCounts,reject counts*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/metrics/requestcounts,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/metrics/requestCounts,request counts,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/metrics/requestlatencies,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/metrics/requestLatencies,request latencies,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/provenance,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/provenance,Content Safety,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/provenance/audio,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/provenance/audio,Content Safety,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/provenance/image,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/provenance/image,Content Safety,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/provenance/jobs,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/provenance/jobs,Content Safety,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/provenance/operations,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/provenance/operations,Content Safety,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/provenance/video,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/provenance/video,Content Safety,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/raipolicies,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/raipolicies,raipolicies,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/safetypolicies,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/safetypolicies,safetypolicies,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/text/autoreviewers,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/text/autoreviewers,Text Autoreviewers,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/text/autoreviewers/operations,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/text/autoreviewers/operations,operations*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/text/blocklists,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/text/blocklists,Text Blocklists,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/text/blocklists/blockitems,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/text/blocklists/blockitems,Text Blockitems,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/text/categories,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/text/categories,Text Categories,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/text/categories/operations,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/text/categories/operations,operations,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/text/incidents,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/text/incidents,Text Incidents,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/text/incidents/incidentsamples,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/text/incidents/incidentsamples,Text Incidentsamples,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/contentsafety/whitelist/features,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ContentSafety/whitelist/features,whitelist features,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects,projects*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/deployments,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/deployments,deployments*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/deployments/jobs,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/deployments/jobs,jobs*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/evaluation,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/evaluation,evaluation*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/export/jobs,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/export/jobs,jobs*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/export/jobs/result,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/export/jobs/result,result*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/import/jobs,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/import/jobs,jobs*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/languages,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/languages,languages*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/models,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/models,models*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/train/jobs,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/train/jobs,jobs*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/conversationallanguageunderstanding/projects/validation,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/ConversationalLanguageUnderstanding/projects/validation,validation*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar,Projects,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar/consents,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar/consents,Consents,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar/data,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar/data,Data,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar/endpoints,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar/endpoints,Endpoints,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar/features,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar/features,Features,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar/models,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar/models,Models,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar/operations,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar/operations,Operations,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar/photoavatars,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar/photoavatars,Photo Avatars,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customavatar/projects,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomAvatar/projects,Projects,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision,Custom Vision,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision/classify/iterations,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision/classify/iterations,iterations*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision/classify/iterations/image,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision/classify/iterations/image,image*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision/classify/iterations/url,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision/classify/iterations/url,url*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision/detect/iterations,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision/detect/iterations,iterations*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision/detect/iterations/image,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision/detect/iterations/image,image*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision/detect/iterations/url,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision/detect/iterations/url,url*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision/domains,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision/domains,domains*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
microsoft.cognitiveservices/accounts/customvision/labelproposals,Microsoft.CognitiveServices,Microsoft Cognitive Services,accounts/CustomVision/labelproposals,labelproposals*,,,0,,"Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385;Azure Machine Learning Services,18a66f5f-dbdf-4c17-9dd7-1634712a9cbe;Microsoft Cognitive Services,7d312290-28c8-473c-a0ed-8e53749b6d6d",False,undetermined,undetermined,undetermined
