technique_id,technique,tactics,audit_category,audit_sub_category,event_id
T1550,Use Alternate Authentication Material,defense-evasion; lateral-movement,Logon/Logoff,Logon,4648
T1550.002,Pass the Hash,defense-evasion; lateral-movement,Logon/Logoff,Logon,4648
T1550.003,Pass the Ticket,defense-evasion; lateral-movement,Logon/Logoff,Logon,4648
T1552,Unsecured Credentials,credential-access,Logon/Logoff,Logon,4648
T1552.005,Cloud Instance Metadata API,credential-access,Logon/Logoff,Logon,4648
T1552.007,Container API,credential-access,Logon/Logoff,Logon,4648
T1003,OS Credential Dumping,credential-access,Object Access,File System,4656
T1003,OS Credential Dumping,credential-access,Object Access,Kernel Object,4656
T1003,OS Credential Dumping,credential-access,Object Access,Registry,4656
T1003.001,LSASS Memory,credential-access,Object Access,Kernel Object,4656
T1003.002,Security Account Manager,credential-access,Object Access,File System,4656
T1003.002,Security Account Manager,credential-access,Object Access,Registry,4656
T1003.003,NTDS,credential-access,Object Access,File System,4656
T1003.004,LSA Secrets,credential-access,Object Access,Registry,4656
T1003.007,Proc Filesystem,credential-access,Object Access,File System,4656
T1003.008,/etc/passwd and /etc/shadow,credential-access,Object Access,File System,4656
T1005,Data from Local System,collection,Object Access,File System,4656
T1011,Exfiltration Over Other Network Medium,exfiltration,Object Access,File System,4656
T1011.001,Exfiltration Over Bluetooth,exfiltration,Object Access,File System,4656
T1012,Query Registry,discovery,Object Access,Registry,4656
T1018,Remote System Discovery,discovery,Object Access,File System,4656
T1020,Automated Exfiltration,exfiltration,Object Access,File System,4656
T1025,Data from Removable Media,collection,Object Access,File System,4656
T1039,Data from Network Shared Drive,collection,Object Access,File System,4656
T1041,Exfiltration Over C2 Channel,exfiltration,Object Access,File System,4656
T1048,Exfiltration Over Alternative Protocol,exfiltration,Object Access,File System,4656
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,Object Access,File System,4656
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,Object Access,File System,4656
T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,exfiltration,Object Access,File System,4656
T1052,Exfiltration Over Physical Medium,exfiltration,Object Access,File System,4656
T1052.001,Exfiltration over USB,exfiltration,Object Access,File System,4656
T1055,Process Injection,defense-evasion; privilege-escalation,Object Access,Kernel Object,4656
T1055.001,Dynamic-link Library Injection,defense-evasion; privilege-escalation,Object Access,Kernel Object,4656
T1055.002,Portable Executable Injection,defense-evasion; privilege-escalation,Object Access,Kernel Object,4656
T1055.003,Thread Execution Hijacking,defense-evasion; privilege-escalation,Object Access,Kernel Object,4656
T1055.004,Asynchronous Procedure Call,defense-evasion; privilege-escalation,Object Access,Kernel Object,4656
T1055.005,Thread Local Storage,defense-evasion; privilege-escalation,Object Access,Kernel Object,4656
