technique_id,technique,tactics,audit_category,audit_sub_category,event_id
T1218,Signed Binary Proxy Execution,defense-evasion,Object Access,Registry,4670
T1218.002,Control Panel,defense-evasion,Object Access,Registry,4670
T1485,Data Destruction,impact,Object Access,File System,4670
T1486,Data Encrypted for Impact,impact,Object Access,File System,4670
T1489,Service Stop,impact,Object Access,File System,4670
T1489,Service Stop,impact,Object Access,Registry,4670
T1490,Inhibit System Recovery,impact,Object Access,Registry,4670
T1491,Defacement,impact,Object Access,File System,4670
T1491.001,Internal Defacement,impact,Object Access,File System,4670
T1491.002,External Defacement,impact,Object Access,File System,4670
T1505,Server Software Component,persistence,Object Access,File System,4670
T1505.003,Web Shell,persistence,Object Access,File System,4670
T1505.004,IIS Components,persistence,Object Access,File System,4670
T1543,Create or Modify System Process,persistence; privilege-escalation,Object Access,File System,4670
T1543,Create or Modify System Process,persistence; privilege-escalation,Object Access,Registry,4670
T1543.001,Launch Agent,persistence; privilege-escalation,Object Access,File System,4670
T1543.002,Systemd Service,persistence; privilege-escalation,Object Access,File System,4670
T1543.003,Windows Service,persistence; privilege-escalation,Object Access,Registry,4670
T1543.004,Launch Daemon,persistence; privilege-escalation,Object Access,File System,4670
T1546,Event Triggered Execution,persistence; privilege-escalation,Object Access,File System,4670
T1546,Event Triggered Execution,persistence; privilege-escalation,Object Access,Registry,4670
T1546.001,Change Default File Association,persistence; privilege-escalation,Object Access,Registry,4670
T1546.002,Screensaver,persistence; privilege-escalation,Object Access,File System,4670
T1546.002,Screensaver,persistence; privilege-escalation,Object Access,Registry,4670
T1546.004,Unix Shell Configuration Modification,persistence; privilege-escalation,Object Access,File System,4670
T1546.005,Trap,persistence; privilege-escalation,Object Access,File System,4670
T1546.006,LC_LOAD_DYLIB Addition,persistence; privilege-escalation,Object Access,File System,4670
T1546.007,Netsh Helper DLL,persistence; privilege-escalation,Object Access,Registry,4670
T1546.008,Accessibility Features,persistence; privilege-escalation,Object Access,File System,4670
T1546.008,Accessibility Features,persistence; privilege-escalation,Object Access,Registry,4670
T1546.009,AppCert DLLs,persistence; privilege-escalation,Object Access,Registry,4670
T1546.010,AppInit DLLs,persistence; privilege-escalation,Object Access,Registry,4670
T1546.011,Application Shimming,persistence; privilege-escalation,Object Access,File System,4670
T1546.011,Application Shimming,persistence; privilege-escalation,Object Access,Registry,4670
T1546.012,Image File Execution Options Injection,persistence; privilege-escalation,Object Access,Registry,4670
T1546.013,PowerShell Profile,persistence; privilege-escalation,Object Access,File System,4670
T1546.014,Emond,persistence; privilege-escalation,Object Access,File System,4670
T1546.015,Component Object Model Hijacking,persistence; privilege-escalation,Object Access,Registry,4670
T1547,Boot or Logon Autostart Execution,persistence; privilege-escalation,Object Access,File System,4670
T1547,Boot or Logon Autostart Execution,persistence; privilege-escalation,Object Access,Registry,4670
T1547.001,Registry Run Keys / Startup Folder,persistence; privilege-escalation,Object Access,File System,4670
T1547.001,Registry Run Keys / Startup Folder,persistence; privilege-escalation,Object Access,Registry,4670
T1547.002,Authentication Package,persistence; privilege-escalation,Object Access,Registry,4670
T1547.003,Time Providers,persistence; privilege-escalation,Object Access,Registry,4670
T1547.004,Winlogon Helper DLL,persistence; privilege-escalation,Object Access,Registry,4670
T1547.005,Security Support Provider,persistence; privilege-escalation,Object Access,Registry,4670
T1547.006,Kernel Modules and Extensions,persistence; privilege-escalation,Object Access,File System,4670
T1547.007,Re-opened Applications,persistence; privilege-escalation,Object Access,File System,4670
T1547.008,LSASS Driver,persistence; privilege-escalation,Object Access,File System,4670
T1547.009,Shortcut Modification,persistence; privilege-escalation,Object Access,File System,4670
T1547.010,Port Monitors,persistence; privilege-escalation,Object Access,Registry,4670
T1547.011,Plist Modification,persistence; privilege-escalation,Object Access,File System,4670
T1547.012,Print Processors,persistence; privilege-escalation,Object Access,Registry,4670
T1547.013,XDG Autostart Entries,persistence; privilege-escalation,Object Access,File System,4670
T1547.014,Active Setup,persistence; privilege-escalation,Object Access,Registry,4670
T1547.015,Login Items,persistence; privilege-escalation,Object Access,File System,4670
T1548,Abuse Elevation Control Mechanism,defense-evasion; privilege-escalation,Object Access,File System,4670
T1548,Abuse Elevation Control Mechanism,defense-evasion; privilege-escalation,Object Access,Registry,4670
T1548.001,Setuid and Setgid,defense-evasion; privilege-escalation,Object Access,File System,4670
T1548.002,Bypass User Account Control,defense-evasion; privilege-escalation,Object Access,Registry,4670
T1548.003,Sudo and Sudo Caching,defense-evasion; privilege-escalation,Object Access,File System,4670
T1553,Subvert Trust Controls,defense-evasion,Object Access,File System,4670
T1553,Subvert Trust Controls,defense-evasion,Object Access,Registry,4670
T1553.001,Gatekeeper Bypass,defense-evasion,Object Access,File System,4670
T1553.003,SIP and Trust Provider Hijacking,defense-evasion,Object Access,File System,4670
T1553.003,SIP and Trust Provider Hijacking,defense-evasion,Object Access,Registry,4670
T1553.004,Install Root Certificate,defense-evasion,Object Access,Registry,4670
T1553.006,Code Signing Policy Modification,defense-evasion,Object Access,Registry,4670
T1554,Compromise Client Software Binary,persistence,Object Access,File System,4670
T1556,Modify Authentication Process,persistence; defense-evasion; credential-access,Object Access,File System,4670
T1556,Modify Authentication Process,persistence; defense-evasion; credential-access,Object Access,Registry,4670
T1556.001,Domain Controller Authentication,persistence; defense-evasion; credential-access,Object Access,File System,4670
T1556.002,Password Filter DLL,persistence; defense-evasion; credential-access,Object Access,Registry,4670
T1556.003,Pluggable Authentication Modules,persistence; defense-evasion; credential-access,Object Access,File System,4670
T1556.004,Network Device Authentication,persistence; defense-evasion; credential-access,Object Access,File System,4670
T1557,Adversary-in-the-Middle,collection; credential-access,Object Access,Registry,4670
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,collection; credential-access,Object Access,Registry,4670
T1562,Impair Defenses,defense-evasion,Object Access,Registry,4670
T1562.001,Disable or Modify Tools,defense-evasion,Object Access,Registry,4670
T1562.004,Disable or Modify System Firewall,defense-evasion,Object Access,Registry,4670
T1562.006,Indicator Blocking,defense-evasion,Object Access,Registry,4670
T1562.009,Safe Mode Boot,defense-evasion,Object Access,Registry,4670
T1564,Hide Artifacts,defense-evasion,Object Access,File System,4670
T1564,Hide Artifacts,defense-evasion,Object Access,Registry,4670
T1564.002,Hidden Users,defense-evasion,Object Access,File System,4670
T1564.002,Hidden Users,defense-evasion,Object Access,Registry,4670
T1564.003,Hidden Window,defense-evasion,Object Access,File System,4670
T1564.004,NTFS File Attributes,defense-evasion,Object Access,File System,4670
T1564.005,Hidden File System,defense-evasion,Object Access,File System,4670
T1564.005,Hidden File System,defense-evasion,Object Access,Registry,4670
T1564.006,Run Virtual Instance,defense-evasion,Object Access,Registry,4670
T1564.008,Email Hiding Rules,defense-evasion,Object Access,File System,4670
T1565,Data Manipulation,impact,Object Access,File System,4670
T1565.001,Stored Data Manipulation,impact,Object Access,File System,4670
T1565.003,Runtime Data Manipulation,impact,Object Access,File System,4670
T1569,System Services,execution,Object Access,File System,4670
T1569,System Services,execution,Object Access,Registry,4670
T1569.001,Launchctl,execution,Object Access,File System,4670
T1569.002,Service Execution,execution,Object Access,Registry,4670
T1574,Hijack Execution Flow,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574,Hijack Execution Flow,persistence; defense-evasion; privilege-escalation,Object Access,Registry,4670
T1574.001,DLL Search Order Hijacking,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.002,DLL Side-Loading,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.004,Dylib Hijacking,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.005,Executable Installer File Permissions Weakness,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.006,Dynamic Linker Hijacking,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.007,Path Interception by PATH Environment Variable,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.008,Path Interception by Search Order Hijacking,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.009,Path Interception by Unquoted Path,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.010,Services File Permissions Weakness,persistence; defense-evasion; privilege-escalation,Object Access,File System,4670
T1574.011,Services Registry Permissions Weakness,persistence; defense-evasion; privilege-escalation,Object Access,Registry,4670
T1574.012,COR_PROFILER,persistence; defense-evasion; privilege-escalation,Object Access,Registry,4670
T1600,Weaken Encryption,defense-evasion,Object Access,File System,4670
T1600.001,Reduce Key Space,defense-evasion,Object Access,File System,4670
T1600.002,Disable Crypto Hardware,defense-evasion,Object Access,File System,4670
T1601,Modify System Image,defense-evasion,Object Access,File System,4670
T1601.001,Patch System Image,defense-evasion,Object Access,File System,4670
T1601.002,Downgrade System Image,defense-evasion,Object Access,File System,4670
T1003,OS Credential Dumping,credential-access,Detailed Tracking,Process Creation,4688
T1003.001,LSASS Memory,credential-access,Detailed Tracking,Process Creation,4688
T1003.002,Security Account Manager,credential-access,Detailed Tracking,Process Creation,4688
T1003.003,NTDS,credential-access,Detailed Tracking,Process Creation,4688
T1003.004,LSA Secrets,credential-access,Detailed Tracking,Process Creation,4688
T1003.005,Cached Domain Credentials,credential-access,Detailed Tracking,Process Creation,4688
T1003.007,Proc Filesystem,credential-access,Detailed Tracking,Process Creation,4688
T1003.008,/etc/passwd and /etc/shadow,credential-access,Detailed Tracking,Process Creation,4688
T1005,Data from Local System,collection,Detailed Tracking,Process Creation,4688
T1006,Direct Volume Access,defense-evasion,Detailed Tracking,Process Creation,4688
T1007,System Service Discovery,discovery,Detailed Tracking,Process Creation,4688
T1010,Application Window Discovery,discovery,Detailed Tracking,Process Creation,4688
T1011,Exfiltration Over Other Network Medium,exfiltration,Detailed Tracking,Process Creation,4688
T1011.001,Exfiltration Over Bluetooth,exfiltration,Detailed Tracking,Process Creation,4688
T1012,Query Registry,discovery,Detailed Tracking,Process Creation,4688
T1016,System Network Configuration Discovery,discovery,Detailed Tracking,Process Creation,4688
T1016.001,Internet Connection Discovery,discovery,Detailed Tracking,Process Creation,4688
T1018,Remote System Discovery,discovery,Detailed Tracking,Process Creation,4688
T1020,Automated Exfiltration,exfiltration,Detailed Tracking,Process Creation,4688
T1021,Remote Services,lateral-movement,Detailed Tracking,Process Creation,4688
T1021.001,Remote Desktop Protocol,lateral-movement,Detailed Tracking,Process Creation,4688
T1021.002,SMB/Windows Admin Shares,lateral-movement,Detailed Tracking,Process Creation,4688
T1021.003,Distributed Component Object Model,lateral-movement,Detailed Tracking,Process Creation,4688
T1021.004,SSH,lateral-movement,Detailed Tracking,Process Creation,4688
T1021.005,VNC,lateral-movement,Detailed Tracking,Process Creation,4688
T1021.006,Windows Remote Management,lateral-movement,Detailed Tracking,Process Creation,4688
T1025,Data from Removable Media,collection,Detailed Tracking,Process Creation,4688
T1027,Obfuscated Files or Information,defense-evasion,Detailed Tracking,Process Creation,4688
T1027.004,Compile After Delivery,defense-evasion,Detailed Tracking,Process Creation,4688
T1033,System Owner/User Discovery,discovery,Detailed Tracking,Process Creation,4688
T1036,Masquerading,defense-evasion,Detailed Tracking,Process Creation,4688
T1036.003,Rename System Utilities,defense-evasion,Detailed Tracking,Process Creation,4688
T1036.004,Masquerade Task or Service,defense-evasion,Detailed Tracking,Process Creation,4688
T1037,Boot or Logon Initialization Scripts,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1037.001,Logon Script (Windows),persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1037.002,Logon Script (Mac),persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1037.003,Network Logon Script,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1037.004,RC Scripts,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1037.005,Startup Items,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1039,Data from Network Shared Drive,collection,Detailed Tracking,Process Creation,4688
T1040,Network Sniffing,discovery; credential-access,Detailed Tracking,Process Creation,4688
T1041,Exfiltration Over C2 Channel,exfiltration,Detailed Tracking,Process Creation,4688
T1046,Network Service Scanning,discovery,Detailed Tracking,Process Creation,4688
T1047,Windows Management Instrumentation,execution,Detailed Tracking,Process Creation,4688
T1048,Exfiltration Over Alternative Protocol,exfiltration,Detailed Tracking,Process Creation,4688
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,Detailed Tracking,Process Creation,4688
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,Detailed Tracking,Process Creation,4688
T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,exfiltration,Detailed Tracking,Process Creation,4688
T1049,System Network Connections Discovery,discovery,Detailed Tracking,Process Creation,4688
T1052,Exfiltration Over Physical Medium,exfiltration,Detailed Tracking,Process Creation,4688
T1052.001,Exfiltration over USB,exfiltration,Detailed Tracking,Process Creation,4688
T1053,Scheduled Task/Job,persistence; privilege-escalation; execution,Detailed Tracking,Process Creation,4688
T1053.001,At (Linux),persistence; privilege-escalation; execution,Detailed Tracking,Process Creation,4688
T1053.002,At (Windows),persistence; privilege-escalation; execution,Detailed Tracking,Process Creation,4688
T1053.003,Cron,persistence; privilege-escalation; execution,Detailed Tracking,Process Creation,4688
T1053.004,Launchd,persistence; privilege-escalation; execution,Detailed Tracking,Process Creation,4688
T1053.005,Scheduled Task,persistence; privilege-escalation; execution,Detailed Tracking,Process Creation,4688
T1053.006,Systemd Timers,persistence; privilege-escalation; execution,Detailed Tracking,Process Creation,4688
T1056,Input Capture,collection; credential-access,Detailed Tracking,Process Creation,4688
T1056.002,GUI Input Capture,collection; credential-access,Detailed Tracking,Process Creation,4688
T1057,Process Discovery,discovery,Detailed Tracking,Process Creation,4688
T1059,Command and Scripting Interpreter,execution,Detailed Tracking,Process Creation,4688
T1059.001,PowerShell,execution,Detailed Tracking,Process Creation,4688
T1059.002,AppleScript,execution,Detailed Tracking,Process Creation,4688
T1059.003,Windows Command Shell,execution,Detailed Tracking,Process Creation,4688
T1059.004,Unix Shell,execution,Detailed Tracking,Process Creation,4688
T1059.005,Visual Basic,execution,Detailed Tracking,Process Creation,4688
T1059.006,Python,execution,Detailed Tracking,Process Creation,4688
T1059.007,JavaScript,execution,Detailed Tracking,Process Creation,4688
T1059.008,Network Device CLI,execution,Detailed Tracking,Process Creation,4688
T1069,Permission Groups Discovery,discovery,Detailed Tracking,Process Creation,4688
T1069.001,Local Groups,discovery,Detailed Tracking,Process Creation,4688
T1069.002,Domain Groups,discovery,Detailed Tracking,Process Creation,4688
T1069.003,Cloud Groups,discovery,Detailed Tracking,Process Creation,4688
T1070,Indicator Removal on Host,defense-evasion,Detailed Tracking,Process Creation,4688
T1070.001,Clear Windows Event Logs,defense-evasion,Detailed Tracking,Process Creation,4688
T1070.002,Clear Linux or Mac System Logs,defense-evasion,Detailed Tracking,Process Creation,4688
T1070.003,Clear Command History,defense-evasion,Detailed Tracking,Process Creation,4688
T1070.004,File Deletion,defense-evasion,Detailed Tracking,Process Creation,4688
T1070.005,Network Share Connection Removal,defense-evasion,Detailed Tracking,Process Creation,4688
T1072,Software Deployment Tools,lateral-movement; execution,Detailed Tracking,Process Creation,4688
T1074,Data Staged,collection,Detailed Tracking,Process Creation,4688
T1074.001,Local Data Staging,collection,Detailed Tracking,Process Creation,4688
T1074.002,Remote Data Staging,collection,Detailed Tracking,Process Creation,4688
T1080,Taint Shared Content,lateral-movement,Detailed Tracking,Process Creation,4688
T1082,System Information Discovery,discovery,Detailed Tracking,Process Creation,4688
T1083,File and Directory Discovery,discovery,Detailed Tracking,Process Creation,4688
T1087,Account Discovery,discovery,Detailed Tracking,Process Creation,4688
T1087.001,Local Account,discovery,Detailed Tracking,Process Creation,4688
T1087.002,Domain Account,discovery,Detailed Tracking,Process Creation,4688
T1087.003,Email Account,discovery,Detailed Tracking,Process Creation,4688
T1087.004,Cloud Account,discovery,Detailed Tracking,Process Creation,4688
T1091,Replication Through Removable Media,lateral-movement; initial-access,Detailed Tracking,Process Creation,4688
T1098,Account Manipulation,persistence,Detailed Tracking,Process Creation,4688
T1098.004,SSH Authorized Keys,persistence,Detailed Tracking,Process Creation,4688
T1110,Brute Force,credential-access,Detailed Tracking,Process Creation,4688
T1112,Modify Registry,defense-evasion,Detailed Tracking,Process Creation,4688
T1113,Screen Capture,collection,Detailed Tracking,Process Creation,4688
T1114,Email Collection,collection,Detailed Tracking,Process Creation,4688
T1114.001,Local Email Collection,collection,Detailed Tracking,Process Creation,4688
T1114.002,Remote Email Collection,collection,Detailed Tracking,Process Creation,4688
T1115,Clipboard Data,collection,Detailed Tracking,Process Creation,4688
T1119,Automated Collection,collection,Detailed Tracking,Process Creation,4688
T1120,Peripheral Device Discovery,discovery,Detailed Tracking,Process Creation,4688
T1123,Audio Capture,collection,Detailed Tracking,Process Creation,4688
T1124,System Time Discovery,discovery,Detailed Tracking,Process Creation,4688
T1125,Video Capture,collection,Detailed Tracking,Process Creation,4688
T1127,Trusted Developer Utilities Proxy Execution,defense-evasion,Detailed Tracking,Process Creation,4688
T1127.001,MSBuild,defense-evasion,Detailed Tracking,Process Creation,4688
T1134,Access Token Manipulation,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1134.001,Token Impersonation/Theft,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1134.002,Create Process with Token,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1134.003,Make and Impersonate Token,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1134.004,Parent PID Spoofing,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1135,Network Share Discovery,discovery,Detailed Tracking,Process Creation,4688
T1136,Create Account,persistence,Detailed Tracking,Process Creation,4688
T1136.001,Local Account,persistence,Detailed Tracking,Process Creation,4688
T1136.002,Domain Account,persistence,Detailed Tracking,Process Creation,4688
T1137,Office Application Startup,persistence,Detailed Tracking,Process Creation,4688
T1137.001,Office Template Macros,persistence,Detailed Tracking,Process Creation,4688
T1137.002,Office Test,persistence,Detailed Tracking,Process Creation,4688
T1137.003,Outlook Forms,persistence,Detailed Tracking,Process Creation,4688
T1137.004,Outlook Home Page,persistence,Detailed Tracking,Process Creation,4688
T1137.005,Outlook Rules,persistence,Detailed Tracking,Process Creation,4688
T1137.006,Add-ins,persistence,Detailed Tracking,Process Creation,4688
T1140,Deobfuscate/Decode Files or Information,defense-evasion,Detailed Tracking,Process Creation,4688
T1176,Browser Extensions,persistence,Detailed Tracking,Process Creation,4688
T1189,Drive-by Compromise,initial-access,Detailed Tracking,Process Creation,4688
T1197,BITS Jobs,persistence; defense-evasion,Detailed Tracking,Process Creation,4688
T1201,Password Policy Discovery,discovery,Detailed Tracking,Process Creation,4688
T1202,Indirect Command Execution,defense-evasion,Detailed Tracking,Process Creation,4688
T1204,User Execution,execution,Detailed Tracking,Process Creation,4688
T1204.002,Malicious File,execution,Detailed Tracking,Process Creation,4688
T1204.003,Malicious Image,execution,Detailed Tracking,Process Creation,4688
T1216,Signed Script Proxy Execution,defense-evasion,Detailed Tracking,Process Creation,4688
T1216.001,PubPrn,defense-evasion,Detailed Tracking,Process Creation,4688
T1217,Browser Bookmark Discovery,discovery,Detailed Tracking,Process Creation,4688
T1218,Signed Binary Proxy Execution,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.001,Compiled HTML File,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.002,Control Panel,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.003,CMSTP,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.004,InstallUtil,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.005,Mshta,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.007,Msiexec,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.008,Odbcconf,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.009,Regsvcs/Regasm,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.010,Regsvr32,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.011,Rundll32,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.012,Verclsid,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.013,Mavinject,defense-evasion,Detailed Tracking,Process Creation,4688
T1218.014,MMC,defense-evasion,Detailed Tracking,Process Creation,4688
T1219,Remote Access Software,command-and-control,Detailed Tracking,Process Creation,4688
T1220,XSL Script Processing,defense-evasion,Detailed Tracking,Process Creation,4688
T1221,Template Injection,defense-evasion,Detailed Tracking,Process Creation,4688
T1222,File and Directory Permissions Modification,defense-evasion,Detailed Tracking,Process Creation,4688
T1222.001,Windows File and Directory Permissions Modification,defense-evasion,Detailed Tracking,Process Creation,4688
T1222.002,Linux and Mac File and Directory Permissions Modification,defense-evasion,Detailed Tracking,Process Creation,4688
T1480,Execution Guardrails,defense-evasion,Detailed Tracking,Process Creation,4688
T1480.001,Environmental Keying,defense-evasion,Detailed Tracking,Process Creation,4688
T1482,Domain Trust Discovery,discovery,Detailed Tracking,Process Creation,4688
T1484,Domain Policy Modification,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1484.001,Group Policy Modification,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1484.002,Domain Trust Modification,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1485,Data Destruction,impact,Detailed Tracking,Process Creation,4688
T1486,Data Encrypted for Impact,impact,Detailed Tracking,Process Creation,4688
T1489,Service Stop,impact,Detailed Tracking,Process Creation,4688
T1490,Inhibit System Recovery,impact,Detailed Tracking,Process Creation,4688
T1496,Resource Hijacking,impact,Detailed Tracking,Process Creation,4688
T1497,Virtualization/Sandbox Evasion,discovery; defense-evasion,Detailed Tracking,Process Creation,4688
T1497.001,System Checks,discovery; defense-evasion,Detailed Tracking,Process Creation,4688
T1497.002,User Activity Based Checks,discovery; defense-evasion,Detailed Tracking,Process Creation,4688
T1497.003,Time Based Evasion,discovery; defense-evasion,Detailed Tracking,Process Creation,4688
T1505,Server Software Component,persistence,Detailed Tracking,Process Creation,4688
T1505.003,Web Shell,persistence,Detailed Tracking,Process Creation,4688
T1505.004,IIS Components,persistence,Detailed Tracking,Process Creation,4688
T1518,Software Discovery,discovery,Detailed Tracking,Process Creation,4688
T1518.001,Security Software Discovery,discovery,Detailed Tracking,Process Creation,4688
T1529,System Shutdown/Reboot,impact,Detailed Tracking,Process Creation,4688
T1542,Pre-OS Boot,persistence; defense-evasion,Detailed Tracking,Process Creation,4688
T1542.005,TFTP Boot,persistence; defense-evasion,Detailed Tracking,Process Creation,4688
T1543,Create or Modify System Process,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1543.001,Launch Agent,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1543.002,Systemd Service,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1543.003,Windows Service,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1543.004,Launch Daemon,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546,Event Triggered Execution,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.001,Change Default File Association,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.002,Screensaver,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.003,Windows Management Instrumentation Event Subscription,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.004,Unix Shell Configuration Modification,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.005,Trap,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.006,LC_LOAD_DYLIB Addition,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.007,Netsh Helper DLL,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.008,Accessibility Features,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.009,AppCert DLLs,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.010,AppInit DLLs,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.011,Application Shimming,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.012,Image File Execution Options Injection,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.013,PowerShell Profile,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.014,Emond,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1546.015,Component Object Model Hijacking,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547,Boot or Logon Autostart Execution,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.001,Registry Run Keys / Startup Folder,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.002,Authentication Package,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.003,Time Providers,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.004,Winlogon Helper DLL,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.005,Security Support Provider,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.006,Kernel Modules and Extensions,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.007,Re-opened Applications,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.009,Shortcut Modification,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.011,Plist Modification,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.013,XDG Autostart Entries,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.014,Active Setup,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1547.015,Login Items,persistence; privilege-escalation,Detailed Tracking,Process Creation,4688
T1548,Abuse Elevation Control Mechanism,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1548.001,Setuid and Setgid,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1548.002,Bypass User Account Control,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1548.003,Sudo and Sudo Caching,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1548.004,Elevated Execution with Prompt,defense-evasion; privilege-escalation,Detailed Tracking,Process Creation,4688
T1552,Unsecured Credentials,credential-access,Detailed Tracking,Process Creation,4688
T1552.001,Credentials In Files,credential-access,Detailed Tracking,Process Creation,4688
T1552.002,Credentials in Registry,credential-access,Detailed Tracking,Process Creation,4688
T1552.003,Bash History,credential-access,Detailed Tracking,Process Creation,4688
T1552.004,Private Keys,credential-access,Detailed Tracking,Process Creation,4688
T1552.006,Group Policy Preferences,credential-access,Detailed Tracking,Process Creation,4688
T1552.007,Container API,credential-access,Detailed Tracking,Process Creation,4688
T1553,Subvert Trust Controls,defense-evasion,Detailed Tracking,Process Creation,4688
T1553.001,Gatekeeper Bypass,defense-evasion,Detailed Tracking,Process Creation,4688
T1553.004,Install Root Certificate,defense-evasion,Detailed Tracking,Process Creation,4688
T1553.006,Code Signing Policy Modification,defense-evasion,Detailed Tracking,Process Creation,4688
T1555,Credentials from Password Stores,credential-access,Detailed Tracking,Process Creation,4688
T1555.001,Keychain,credential-access,Detailed Tracking,Process Creation,4688
T1555.002,Securityd Memory,credential-access,Detailed Tracking,Process Creation,4688
T1555.003,Credentials from Web Browsers,credential-access,Detailed Tracking,Process Creation,4688
T1555.004,Windows Credential Manager,credential-access,Detailed Tracking,Process Creation,4688
T1555.005,Password Managers,credential-access,Detailed Tracking,Process Creation,4688
T1558,Steal or Forge Kerberos Tickets,credential-access,Detailed Tracking,Process Creation,4688
T1559,Inter-Process Communication,execution,Detailed Tracking,Process Creation,4688
T1559.001,Component Object Model,execution,Detailed Tracking,Process Creation,4688
T1559.002,Dynamic Data Exchange,execution,Detailed Tracking,Process Creation,4688
T1560,Archive Collected Data,collection,Detailed Tracking,Process Creation,4688
