service,action,AWS Service,Description,Resource type (console),resources.type,eventType,eventCategory,eventName,ACSC Recommended,ACSC Logging Condition
ebs,StartSnapshot,Amazon Elastic Block Store,"Amazon Elastic Block Store (EBS) direct APIs, such as PutSnapshotBlock, GetSnapshotBlock, and ListChangedBlocks on Amazon EBS snapshots.",Amazon EBS direct APIs,AWS::EC2::Snapshot,AwsApiCall,Data,StartSnapshot,N/A,N/A
ec2,AcceptAddressTransfer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AcceptCapacityReservationBillingOwnership,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AcceptReservedInstancesExchangeQuote,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AcceptTransitGatewayClientVpnAttachment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AcceptTransitGatewayMulticastDomainAssociations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AcceptTransitGatewayPeeringAttachment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AcceptTransitGatewayVpcAttachment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AcceptVpcEndpointConnections,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AcceptVpcPeeringConnection,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,All
ec2,AdvertiseByoipCidr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AllocateAddress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AllocateHosts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AllocateIpamPoolCidr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,ApplySecurityGroupsToClientVpnTargetNetwork,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssignIpv6Addresses,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssignPrivateIpAddresses,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssignPrivateNatGatewayAddress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateAddress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateApplicationStatusCheck,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateCapacityReservationBillingOwner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateClientVpnTargetNetwork,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateDhcpOptions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateEnclaveCertificateIamRole,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateIamInstanceProfile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateInstanceEventWindow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateIpamByoasn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateIpamResourceDiscovery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateNatGatewayAddress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateRouteServer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateRouteTable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateSecurityGroupVpc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateSubnetCidrBlock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateTransitGatewayMulticastDomain,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateTransitGatewayPolicyTable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateTransitGatewayRouteTable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateTrunkInterface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateVerifiedAccessInstanceWebAcl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AssociateVpcCidrBlock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AttachApplianceToNatGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AttachClassicLinkVpc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AttachImageWatermark,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AttachInternetGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,All
ec2,AttachNetworkInterface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AttachResourcesToPlacementGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AttachVerifiedAccessTrustProvider,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AttachVolume,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AttachVpnGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AuthorizeClientVpnIngress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AuthorizeSecurityGroupEgress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,AuthorizeSecurityGroupIngress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,BatchModifyIpamRoutingPolicyRegistrations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,BundleInstance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelBundleTask,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelCapacityReservation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelCapacityReservationFleets,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelConversionTask,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelDeclarativePoliciesReport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelExportTask,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelImageLaunchPermission,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelImportTask,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelReservedInstancesListing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelSpotFleetRequests,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CancelSpotInstanceRequests,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,ConfirmProductInstance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CopyFpgaImage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CopyImage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CopySnapshot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CopyVolumes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateApplicationStatusCheck,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCapacityManagerDataExport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCapacityReservation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCapacityReservationBySplitting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCapacityReservationCancellationQuote,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCapacityReservationFleet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCarrierGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateClientVpnEndpoint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateClientVpnRoute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCoipCidr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCoipPool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCoipPoolPermission,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateCustomerGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateDefaultSubnet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateDefaultVpc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateDelegateMacVolumeOwnershipTask,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateDhcpOptions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateEgressOnlyInternetGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,All
ec2,CreateFleet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateFlowLogs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateFpgaImage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateImage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateImageUsageReport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateInstanceConnectEndpoint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateInstanceEventWindow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateInstanceExportTask,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateInternetGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,All
ec2,CreateInterruptibleCapacityReservationAllocation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamExternalResourceVerificationToken,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamInternetRegistryAssociation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamPolicy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamPool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamPrefixListResolver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamPrefixListResolverTarget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamResourceDiscovery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamRoutingPolicyRegistration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateIpamScope,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateKeyPair,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,All
ec2,CreateLaunchTemplate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateLaunchTemplateVersion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateLocalGatewayRoute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateLocalGatewayRouteTable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,CreateLocalGatewayRouteTablePermission,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeclarativePoliciesReport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteApplianceFromNatGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteCapacityManagerDataExport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteCapacityReservation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteCapacityReservationFleets,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteCarrierGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteClientVpnEndpoint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteClientVpnRoute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteCoipCidr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteCoipPool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteCoipPoolPermission,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteCustomerGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteDhcpOptions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteEgressOnlyInternetGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteFleet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteFleetInstances,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteFlowLogs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteFpgaImage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteImage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteImageUsageReport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteInstanceConnectEndpoint,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteInstanceEventWindow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteInternetGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamExternalResourceVerificationToken,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamInternetRegistryAssociation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamPolicy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamPool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamPoolAllocation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamPrefixListResolver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamPrefixListResolverTarget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamResourceDiscovery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamResourceDiscoveryAssociation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamRoutingPolicyRegistration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteIpamScope,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteKeyPair,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteLaunchTemplate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteLaunchTemplateVersions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteLocalGatewayRoute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteLocalGatewayRouteTable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteLocalGatewayRouteTablePermission,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteLocalGatewayRouteTableVpcAssociation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteLocalGatewayVirtualInterface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteLocalGatewayVirtualInterfaceGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteManagedPrefixList,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNatGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNetworkAcl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNetworkAclEntry,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNetworkInsightsAccessScope,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNetworkInsightsAccessScopeAnalysis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNetworkInsightsAnalysis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNetworkInsightsPath,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNetworkInterface,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteNetworkInterfacePermission,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeletePlacementGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeletePrefix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteRoute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteRouteServer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteRouteTable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteSecurityGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteSnapshot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteSpotDatafeedSubscription,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteSubnet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteSubnetCidrReservation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTags,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTrafficMirrorFilter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTrafficMirrorFilterRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTrafficMirrorSession,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTrafficMirrorTarget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTransitGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTransitGatewayConnect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTransitGatewayConnectPeer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTransitGatewayMulticastDomain,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTransitGatewayPeeringAttachment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTransitGatewayPolicyTable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTransitGatewayRouteTable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteTransitGatewayVpcAttachment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVolume,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpcEndpointConnectionNotifications,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpcEndpointServiceConfigurations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpcEndpoints,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpcPeeringConnection,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpnConnection,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpnConnectionRoute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpnGateway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeleteVpnGatewayRoute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeprovisionByoipCidr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeregisterImage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeregisterInstanceImage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeregisterTransitGatewayMulticastGroupMembers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DeregisterTransitGatewayMulticastGroupSources,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeAccountAttributes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeAddressTransfers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeAddresses,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeAggregateIdFormat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeAvailabilityZones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeBundleTasks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeByoipCidrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeCapacityManagerDataExports,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeCapacityReservationCancellationQuotes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeCapacityReservationFleets,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeCapacityReservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeCarrierGateways,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeClassicLinkInstances,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeClassicLinkVpcs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeClientVpnAuthorizationRules,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeClientVpnConnections,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeClientVpnEndpoints,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeClientVpnRoutes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeClientVpnTargetNetworks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeCoipPools,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeConversionTasks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeCustomerGateways,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeDeclarativePoliciesReports,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeDhcpOptions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeEgressOnlyInternetGateways,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeElasticGpus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeExportImageTasks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeExportInstanceTasks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeFleetHistory,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeFleetInstances,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeFleets,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeFlowLogs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeFpgaImageAttribute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeFpgaImages,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeImageAttribute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeImageUsageReports,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeImages,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeImportImageTasks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeImportSnapshotTasks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceAttribute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Where Attribute='userdata'
ec2,DescribeInstanceConnectEndpoints,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceEventNotificationAttributes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceEventWindowAssociations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceEventWindows,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceInformation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceStatus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceTopology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceTypeOfferings,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstanceTypes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInstances,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeInternetGateways,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ec2,DescribeIpamByoasn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
