service,action,AWS Service,Description,Resource type (console),resources.type,eventType,eventCategory,eventName,ACSC Recommended,ACSC Logging Condition
a4b,ListSkillsStoreCategories,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,ListSkillsStoreSkillsByCategory,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,ListSmartHomeAppliances,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,ListTags,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,PutConferencePreference,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,PutDeviceSetupEvents,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,PutInvitationConfiguration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,PutRoomSkillParameter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,PutSkillAuthorization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,RegisterAVSDevice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,RegisterDevice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,RejectSkill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,ResolveRoom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,RevokeInvitation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SearchAddressBooks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SearchContacts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SearchDevices,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SearchNetworkProfiles,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SearchProfiles,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SearchRooms,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SearchSkillGroups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SearchUsers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SendAnnouncement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,SendInvitation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
